CapTime,Status,Free,Total
27/01/2022-19:42,Open,0230,0230,
27/01/2022-19:47,Open,0230,0230,
27/01/2022-19:52,Open,0230,0230,
27/01/2022-19:57,Open,0230,0230,
27/01/2022-20:02,Open,0230,0230,
27/01/2022-20:07,Open,0230,0230,
27/01/2022-20:12,Open,0230,0230,
27/01/2022-20:17,Open,0230,0230,
27/01/2022-20:22,Open,0230,0230,
27/01/2022-20:27,Open,0230,0230,
27/01/2022-20:32,Open,0230,0230,
27/01/2022-20:37,Open,0230,0230,
27/01/2022-20:42,Open,0230,0230,
27/01/2022-20:47,Open,0230,0230,
27/01/2022-20:52,Open,0230,0230,
27/01/2022-20:57,Open,0230,0230,
27/01/2022-21:02,Open,0230,0230,
27/01/2022-21:07,Open,0230,0230,
27/01/2022-21:12,Open,0230,0230,
27/01/2022-21:17,Open,0230,0230,
27/01/2022-21:22,Open,0230,0230,
27/01/2022-21:27,Open,0230,0230,
27/01/2022-21:32,Open,0230,0230,
27/01/2022-21:37,Open,0230,0230,
27/01/2022-21:42,Open,0230,0230,
27/01/2022-21:47,Open,0230,0230,
27/01/2022-21:52,Open,0230,0230,
27/01/2022-21:57,Open,0230,0230,
27/01/2022-22:02,Open,0230,0230,
27/01/2022-22:07,Open,0230,0230,
27/01/2022-22:12,Open,0230,0230,
27/01/2022-22:17,Open,0230,0230,
27/01/2022-22:22,Open,0230,0230,
27/01/2022-22:27,Open,0230,0230,
27/01/2022-22:32,Open,0230,0230,
27/01/2022-22:37,Open,0230,0230,
27/01/2022-22:42,Open,0230,0230,
27/01/2022-22:47,Open,0230,0230,
27/01/2022-22:52,Open,0230,0230,
27/01/2022-22:57,Open,0230,0230,
27/01/2022-23:02,Open,0230,0230,
27/01/2022-23:07,Open,0230,0230,
27/01/2022-23:12,Open,0230,0230,
27/01/2022-23:17,Open,0230,0230,
27/01/2022-23:22,Open,0230,0230,
27/01/2022-23:27,Open,0230,0230,
27/01/2022-23:32,Open,0230,0230,
27/01/2022-23:37,Open,0230,0230,
27/01/2022-23:42,Open,0230,0230,
27/01/2022-23:47,Open,0230,0230,
27/01/2022-23:52,Open,0230,0230,
27/01/2022-23:57,Open,0230,0230,
28/01/2022-00:02,Open,0230,0230,
28/01/2022-00:07,Open,0230,0230,
28/01/2022-00:12,Open,0230,0230,
28/01/2022-00:17,Open,0230,0230,
28/01/2022-00:22,Open,0230,0230,
28/01/2022-00:27,Open,0230,0230,
28/01/2022-00:32,Open,0230,0230,
28/01/2022-00:37,Open,0230,0230,
28/01/2022-00:42,Open,0230,0230,
28/01/2022-00:47,Open,0230,0230,
28/01/2022-00:52,Open,0230,0230,
28/01/2022-00:57,Open,0230,0230,
28/01/2022-01:02,Open,0230,0230,
28/01/2022-01:07,Open,0230,0230,
28/01/2022-01:12,Open,0230,0230,
28/01/2022-01:17,Open,0230,0230,
28/01/2022-01:22,Open,0230,0230,
28/01/2022-01:27,Open,0230,0230,
28/01/2022-01:32,Open,0230,0230,
28/01/2022-01:37,Open,0230,0230,
28/01/2022-01:42,Open,0230,0230,
28/01/2022-01:47,Open,0230,0230,
28/01/2022-01:52,Open,0230,0230,
28/01/2022-01:57,Open,0230,0230,
28/01/2022-02:02,Open,0230,0230,
28/01/2022-02:07,Open,0230,0230,
28/01/2022-02:12,Open,0230,0230,
28/01/2022-02:17,Open,0230,0230,
28/01/2022-02:22,Open,0230,0230,
28/01/2022-02:27,Open,0230,0230,
28/01/2022-02:32,Open,0230,0230,
28/01/2022-02:37,Open,0230,0230,
28/01/2022-02:42,Open,0230,0230,
28/01/2022-02:47,Open,0230,0230,
28/01/2022-02:52,Open,0230,0230,
28/01/2022-02:57,Open,0230,0230,
28/01/2022-03:02,Open,0230,0230,
28/01/2022-03:07,Open,0230,0230,
28/01/2022-03:12,Open,0230,0230,
28/01/2022-03:17,Open,0230,0230,
28/01/2022-03:22,Open,0230,0230,
28/01/2022-03:27,Open,0230,0230,
28/01/2022-03:32,Open,0230,0230,
28/01/2022-03:37,Open,0230,0230,
28/01/2022-03:42,Open,0230,0230,
28/01/2022-03:47,Open,0230,0230,
28/01/2022-03:52,Open,0230,0230,
28/01/2022-03:57,Open,0230,0230,
28/01/2022-04:02,Open,0230,0230,
28/01/2022-04:07,Open,0230,0230,
28/01/2022-04:12,Open,0230,0230,
28/01/2022-04:17,Open,0230,0230,
28/01/2022-04:22,Open,0230,0230,
28/01/2022-04:27,Open,0230,0230,
28/01/2022-04:32,Open,0230,0230,
28/01/2022-04:37,Open,0230,0230,
28/01/2022-04:42,Open,0230,0230,
28/01/2022-04:47,Open,0230,0230,
28/01/2022-04:52,Open,0230,0230,
28/01/2022-04:57,Open,0230,0230,
28/01/2022-05:02,Open,0230,0230,
28/01/2022-05:07,Open,0230,0230,
28/01/2022-05:12,Open,0230,0230,
28/01/2022-05:17,Open,0230,0230,
28/01/2022-05:22,Open,0230,0230,
28/01/2022-05:27,Open,0230,0230,
28/01/2022-05:32,Open,0230,0230,
28/01/2022-05:37,Open,0230,0230,
28/01/2022-05:42,Open,0230,0230,
28/01/2022-05:47,Open,0230,0230,
28/01/2022-05:52,Open,0230,0230,
28/01/2022-05:57,Open,0230,0230,
28/01/2022-06:02,Open,0230,0230,
28/01/2022-06:07,Open,0230,0230,
28/01/2022-06:12,Open,0230,0230,
28/01/2022-06:17,Open,0230,0230,
28/01/2022-06:22,Open,0230,0230,
28/01/2022-06:27,Open,0230,0230,
28/01/2022-06:32,Open,0230,0230,
28/01/2022-06:37,Open,0230,0230,
28/01/2022-06:42,Open,0230,0230,
28/01/2022-06:47,Open,0230,0230,
28/01/2022-06:52,Open,0230,0230,
28/01/2022-06:57,Open,0230,0230,
28/01/2022-07:02,Open,0230,0230,
28/01/2022-07:07,Open,0230,0230,
28/01/2022-07:12,Open,0230,0230,
28/01/2022-07:17,Open,0230,0230,
28/01/2022-07:22,Open,0230,0230,
28/01/2022-07:27,Open,0230,0230,
28/01/2022-07:32,Open,0230,0230,
28/01/2022-07:37,Open,0230,0230,
28/01/2022-07:42,Open,0230,0230,
28/01/2022-07:47,Open,0230,0230,
28/01/2022-07:52,Open,0230,0230,
28/01/2022-07:57,Open,0230,0230,
28/01/2022-08:02,Open,0230,0230,
28/01/2022-08:07,Open,0230,0230,
28/01/2022-08:12,Open,0230,0230,
28/01/2022-08:17,Open,0230,0230,
28/01/2022-08:22,Open,0230,0230,
28/01/2022-08:27,Open,0230,0230,
28/01/2022-08:32,Open,0230,0230,
28/01/2022-08:37,Open,0230,0230,
28/01/2022-08:42,Open,0230,0230,
28/01/2022-08:47,Open,0230,0230,
28/01/2022-08:52,Open,0230,0230,
28/01/2022-08:57,Open,0230,0230,
28/01/2022-09:02,Open,0230,0230,
28/01/2022-09:07,Open,0230,0230,
28/01/2022-09:12,Open,0230,0230,
28/01/2022-09:17,Open,0230,0230,
28/01/2022-09:22,Open,0230,0230,
28/01/2022-09:27,Open,0230,0230,
